ticker,Jumlah,Kategori,Nama,Pengendali,Persentase
DMND,2093177530.0,Lebih dari 5%,Kenneth Chen,False,22.11
DNAR,8210618230.0,Lebih dari 5%,APRO Financial Co. Ltd,True,92.5
DNET,5581931400.0,Lebih dari 5%,Hannawell Group Limited,False,39.35
DOID,3264000000.0,Lebih dari 5%,Northstar Tambang Persada Ltd.,False,37.866
DPNS,18899111.0,Lebih dari 5%,Siang Hadi Widjaja,False,5.707
DPUM,1982034500.0,Lebih dari 5%,PT Pandawa Putra Investama,True,47.47
DSFI,1286896450.0,Lebih dari 5%,PT.MARINA BERKAH INVESTAMA,False,69.29
DSNG,575367500.0,Lebih dari 5%,ANDRIANTO OETOMO,False,5.43
DSSA,461552320.0,Lebih dari 5%,PT Sinar Mas Tunggal,True,59.9
DUCK,260076590.0,Lebih dari 5%,PT Asia Kuliner Sejahtera,True,20.2658
DUTI,1638372332.0,Lebih dari 5%,PT Bumi Serpong Damai Tbk,True,88.56
DVLA,1031800912.0,Lebih dari 5%, Blue Sphere Singapore PTE LTD,True,92.0
DWGL,0.0,Lebih dari 5%,PT Energi Batubara Indonesia,False,0.0
DYAN,1816581378.0,Lebih dari 5%,PT Teletransmedia,True,42.51
EAST,1687175550.0,Lebih dari 5%,Khalid Bin Omar Abdat,True,40.89
ECII,341250000.0,Lebih dari 5%,PT Graha Surya Kirana,True,25.57
EKAD,552393420.0,Lebih dari 5%,"EKADHARMA INTI PERKASA, PT,",True,79.05
ELSA,1087407500.0,Lebih dari 5%,Dana Pensiun Pertamina,False,14.899
ELTY,2227645000.0,Lebih dari 5%,INTERVENTURES CAPITAL PTE. LTD,False,5.12
EMDE,2237018320.0,Lebih dari 5%,PT Cosmopolitan Persada Developments,True,66.78
EMTK,1405156497.0,Lebih dari 5%,Eddy K. Sariaatmadja,True,24.9
ENRG,898278476.0,Lebih dari 5%,UBS AG SG S/A REIGNWOOD INTER INVESTMENT (GR) CO LTD-2091144561,False,8.686
ENVY,470000000.0,Lebih dari 5%,Jonathan Tan Kwan Nyan,True,26.11
ENZO,1482600000.0,Lebih dari 5%,PT Tritunggal Sukses Investama,True,62.56
EPAC,800000000.0,Lebih dari 5%,PT Omni Multi Industrindo,False,24.22
EPMT,2504801795.0,Lebih dari 5%,PT Kalbe Farma Tbk,True,92.47
ERAA,1738996040.0,Lebih dari 5%,PT Eralink International,True,54.51
ERTX,1229841092.0,Lebih dari 5%,PT Ungaran Sari Garments,True,95.59
ESIP,354400000.0,Lebih dari 5%,PT Tanindo Omega Pasifik,True,55.37
ESSA,3617900000.0,Lebih dari 5%,PT TRINUGRAHA AKRAYA SEJAHTERA,True,25.3
ESTA,429500000.0,Lebih dari 5%,PT Esta Utama Corpora ,True,0.0
ESTI,1751033353.0,Lebih dari 5%,PT Cahaya Interkontinental,False,86.89
ETWA,211353700.0,Lebih dari 5%,Watervale Worldwide Inc,False,21.83
EXCL,7092656612.0,Lebih dari 5%,Axiata Investments (Indonesia) Sdn. Bhd.,True,66.25
FAST,0.0,Lebih dari 5%,"HSBC-Fund Services, ARISAIG ASIA CONSUMER FD LTD",False,0.0
FASW,1368663916.0,Lebih dari 5%,SCGP SOLUTIONS (SINGAPORE) PTE. LTD,True,55.23
FILM,3804486800.0,Lebih dari 5%,PT MD Global Media,True,40.0
FINN,965750000.0,Lebih dari 5%,PT Inti Sukses Danamas,True,44.13
FIRE,531203000.0,Lebih dari 5%,Aris Munandar,True,36.0
FISH,50000000.0,Lebih dari 5%,PT Caturkartika Perdana,True,10.42
FITT,180000000.0,Lebih dari 5%,PT Gloria Inti Nusantara,True,30.0
FMII,1270000000.0,Lebih dari 5%,PT Surya Mega  Investindo ,True,46.67
FOOD,499999000.0,Lebih dari 5%,PT Super Capital Indonesia,True,76.92
FORU,415222000.0,Lebih dari 5%,KARYA CITRA PRIMA,True,89.25
FORZ,242795319.0,Lebih dari 5%,PT Forza Indonesia,False,12.24
FPNI,5148902750.0,Lebih dari 5%,Lotte Chemical Titan International Sdn. Bhd.,True,92.5
FREN,79779942154.0,Lebih dari 5%,Global Nusa Data PT,True,36.6
FUJI,794000000.0,Lebih dari 5%,Indovalue Capital Asset,True,61.08
GAMA,2403000000.0,Lebih dari 5%,PT GADING INVESTMENT,True,24.0
GDST,8035093922.0,Lebih dari 5%,GWIE GUNAWAN,True,86.94
GDYR,348500000.0,Lebih dari 5%,The Goodyear Tire & Rubber,True,85.0
GEMA,1195885000.0,Lebih dari 5%,PT VIRUCCI INDOGRIYA SARANA,True,74.74
GEMS,3941166500.0,Lebih dari 5%,Golden Energy and Resources Limited,True,66.9998
