No,IndexSummaryID,Date,IndexCode,Previous,Highest,Lowest,Close,NumberOfStock,Change,Volume,Value,Frequency,MarketCapital,Year
10,68837,2015-06-17T00:00:00,TRADE,906.217,914.25,908.717,911.422,113.0,5.205,997682781.0,1073531925980.0,45664.0,674384292577146.0,2015
11,68838,2015-06-17T00:00:00,MANUFACTUR,1228.464,1251.345,1233.171,1247.087,142.0,18.623,929946570.0,833181204420.0,49552.0,1681985698318940.0,2015
12,68839,2015-06-17T00:00:00,LQ45,834.319,853.752,839.938,850.177,45.0,15.858,1028954671.0,3381967023469.0,142538.0,3163186817573130.0,2015
13,68840,2015-06-17T00:00:00,JII,653.033,665.094,656.455,660.815,30.0,7.782,765854896.0,1786208037594.0,94164.0,1907826067220900.0,2015
14,68841,2015-06-17T00:00:00,MBX,1403.324,1430.565,1410.147,1426.83,272.0,23.506,2730006947.0,3931867690379.0,204080.0,4505517092286160.0,2015
15,68842,2015-06-17T00:00:00,DBX,677.903,680.685,676.139,678.663,240.0,0.76,2366837042.0,1077648837515.0,39190.0,515534427918765.0,2015
16,68843,2015-06-17T00:00:00,KOMPAS100,1051.546,1075.158,1057.898,1071.602,100.0,20.056,2995182302.0,4061416178649.0,201826.0,3526315602941930.0,2015
17,68844,2015-06-17T00:00:00,BISNIS-27,412.484,422.504,415.055,420.705,27.0,8.221,588813659.0,2646895778244.0,96175.0,2478925773314730.0,2015
18,68845,2015-06-17T00:00:00,PEFINDO25,415.24,426.865,417.557,425.651,25.0,10.411,302389750.0,298994532900.0,22391.0,142369577016743.0,2015
19,68846,2015-06-17T00:00:00,SRI-KEHATI,283.216,289.848,284.945,288.507,25.0,5.291,416022241.0,2412047817994.0,75351.0,2420303796625380.0,2015
20,68847,2015-06-17T00:00:00,ISSI,156.667,159.048,157.303,158.465,314.0,1.798,3821951038.0,3189930785109.0,178030.0,2872656449020140.0,2015
21,68848,2015-06-17T00:00:00,IDX30,431.958,442.022,434.832,440.212,30.0,8.254,690867922.0,2931988403744.0,105891.0,2847575388719150.0,2015
22,68849,2015-06-17T00:00:00,INFOBANK15,531.538,548.987,534.886,547.621,15.0,16.083,182018395.0,1388766707825.0,26262.0,1096831070270520.0,2015
23,68850,2015-06-17T00:00:00,SMinfra18,330.039,334.116,330.729,332.786,18.0,2.747,245370221.0,684365499044.0,39837.0,840967458870115.0,2015
